Model,Test Accuracy,Macro F1 (Test),Weighted F1 (Test),Final Training Loss,Final Validation Loss,Final Training Accuracy,Final Validation Accuracy,Best Validation Accuracy,Epoch of Best Validation Accuracy
resnet50,1.0,1.0,1.0,0.1386983777269905,0.1023640211890725,0.9506172839506172,0.9558823529411764,0.9852941176470588,8
mobilenet_v2,0.9931,0.992,0.993,0.1363488533246664,0.0798031950698179,0.9475308641975309,0.9705882352941176,0.9779411764705882,8
densenet121,0.9861,0.984,0.986,0.2129105461968315,0.7019277600681081,0.9367283950617284,0.7279411764705882,0.9926470588235294,4
densenet169,0.9792,0.979,0.979,0.0826790305199446,0.2224360318744883,0.984567901234568,0.9264705882352942,0.9705882352941176,7
resnet18,0.9792,0.976,0.979,0.0415035305935659,0.1376822099966161,0.9876543209876544,0.9338235294117648,0.9852941176470588,13
efficientnet_b1,0.9722,0.97,0.972,0.1436589845904597,0.1181948745951933,0.9583333333333334,0.9558823529411764,0.9558823529411764,8
resnet101,0.9722,0.968,0.971,0.101572999983658,0.0942219267873203,0.964506172839506,0.9632352941176472,0.9779411764705882,9
vgg16_bn,0.9653,0.962,0.965,0.1704174572670901,0.2959033154389437,0.9506172839506172,0.9338235294117648,0.9632352941176472,7
efficientnet_b0,0.9514,0.944,0.952,0.1009150655181319,0.1232242093366735,0.9722222222222222,0.9632352941176472,0.9705882352941176,12
resnet34,0.9306,0.926,0.931,0.1513341659748995,0.399495038039544,0.9475308641975309,0.8529411764705882,0.9485294117647058,8
